model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AWL,0.4,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.4,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.4,0.20434585528925153,0.21669977559180253,0.20434585528925153,0.15905043634484903,1877.9049488700812,1156.3944558956407,455143.6,405977.6,1141.0,20458.0,4228.0,98.0,1630.0,909.0,130.0,2262.0,4442.0
ONL,0.4,0.5179046971499802,0.6883980622252158,0.5179046971499802,0.5301671694092557,1719.7728812532682,1156.3944558956407,476456.0,405977.6,12821.0,1795.0,11211.0,825.0,247.0,1565.0,1249.0,372.0,5213.0
LR,0.4,0.17119950138818069,0.31589960633060393,0.17119950138818069,0.11722474629844741,1896.0154663886037,1156.3944558956407,465182.8,405977.6,39.0,22246.0,3542.0,4.0,1819.0,814.0,23.0,2626.0,4185.0
SVML,0.4,0.1665816760156383,0.17967435237874282,0.1665816760156383,0.1222483818325242,1868.4020080226483,1156.3944558956407,470929.2,405977.6,7.0,24067.0,1753.0,2.0,2091.0,544.0,4.0,3048.0,3782.0
RF,0.4,0.33528811830698624,0.6759750080065478,0.33528811830698624,0.3630453011496636,1750.023106671018,1156.3944558956407,477527.6,405977.6,6296.0,17067.0,2464.0,471.0,1371.0,795.0,590.0,2076.0,4168.0
DCT,0.4,0.32831888492265854,0.6189497967111148,0.32831888492265854,0.36149411505165624,1745.285024529498,1156.3944558956407,523113.2,405977.6,6686.0,16999.0,2142.0,616.0,1388.0,633.0,1043.0,2276.0,3515.0
KNN,0.4,0.6523315768598786,0.7349802835431839,0.6523315768598786,0.6555446353225859,1552.3779468577604,1156.3944558956407,523009.2,405977.6,18627.0,1631.0,5569.0,1460.0,375.0,802.0,1991.0,819.0,4024.0
SV-Grid,0.4,0.22828488866224717,0.3966931408935014,0.22828488866224717,0.20259863612028145,1848.3253697294178,1156.3944558956407,455541.2,405977.6,2096.0,19596.0,4135.0,156.0,1551.0,930.0,177.0,2246.0,4411.0
HV,0.4,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.4,0.2650008499065103,0.6821540793823052,0.2650008499065103,0.26869838813121016,1810.6974848984596,1156.3944558956407,467670.8,405977.6,3558.0,19608.0,2661.0,298.0,1498.0,841.0,329.0,2207.0,4298.0
AHL,0.5,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.5,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.5,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.5,0.21570627231004588,0.6422356100856909,0.21570627231004588,0.18971579094697522,1847.006080105758,1156.3944558956407,461861.2,405977.6,1810.0,20676.0,3341.0,162.0,1706.0,769.0,221.0,2515.0,4098.0
ONL,0.5,0.5179046971499802,0.6883980622252158,0.5179046971499802,0.5301671694092557,1719.7728812532682,1156.3944558956407,476456.0,405977.6,12821.0,1795.0,11211.0,825.0,247.0,1565.0,1249.0,372.0,5213.0
LR,0.5,0.19366536347668425,0.5746454466050556,0.19366536347668425,0.16891599181029504,1845.3235374396602,1156.3944558956407,480472.8,405977.6,1299.0,22697.0,1831.0,121.0,2012.0,504.0,229.0,3080.0,3525.0
SVML,0.5,0.18746104595161198,0.5687807811288068,0.18746104595161198,0.1650723210437902,1842.5034009462513,1156.3944558956407,486350.8,405977.6,1259.0,23534.0,1034.0,118.0,2175.0,344.0,202.0,3449.0,3183.0
RF,0.5,0.4805938013485183,0.733278140751923,0.4805938013485183,0.5137125230707842,1623.7418354417198,1156.3944558956407,502540.0,405977.6,11861.0,11831.0,2135.0,835.0,1094.0,708.0,1183.0,1642.0,4009.0
DCT,0.5,0.4711598390843673,0.6961413091767992,0.4711598390843673,0.5060606719816535,1624.7782025346423,1156.3944558956407,542625.2,405977.6,12061.0,11803.0,1963.0,933.0,1094.0,610.0,1561.0,1797.0,3476.0
KNN,0.5,0.6523315768598786,0.7349802835431839,0.6523315768598786,0.6555446353225859,1552.3779468577604,1156.3944558956407,523009.2,405977.6,18627.0,1631.0,5569.0,1460.0,375.0,802.0,1991.0,819.0,4024.0
SV-Grid,0.5,0.23644399116097226,0.609309885137119,0.23644399116097226,0.21996025603392863,1831.4841154014434,1156.3944558956407,463478.8,405977.6,2572.0,20017.0,3238.0,223.0,1620.0,794.0,318.0,2362.0,4154.0
HV,0.5,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.5,0.5175080741118477,0.7501011249390573,0.5175080741118477,0.5590008450987044,1591.6979778132802,1156.3944558956407,501204.8,405977.6,13187.0,10875.0,1765.0,873.0,1103.0,661.0,1203.0,1654.0,3977.0
AHL,0.6,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.6,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
