model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
RF,0.2,0.2229551451187335,0.5538053288922608,0.2229551451187335,0.13292601301938795,1661.9704479136778,847.9192936411212,428238.0,398957.6,847.0,9378.0,23658.0,113.0,1090.0,3631.0,169.0,1336.0,9048.0
DCT,0.2,0.20984371828699006,0.417678464188821,0.20984371828699006,0.14340113792137735,1654.352005991925,847.9192936411212,498701.6,398957.6,1325.0,9738.0,22820.0,290.0,1287.0,3257.0,838.0,1988.0,7727.0
KNN,0.2,0.43373249441851025,0.6533977525387742,0.43373249441851025,0.40883674776054785,1479.2789535043732,847.9192936411212,468520.8,398957.6,12731.0,5254.0,15898.0,1150.0,863.0,2821.0,1324.0,1453.0,7776.0
SV-Grid,0.2,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
HV,0.2,0.696062512685204,0.732943259121833,0.696062512685204,0.7077224588728475,1184.7673063035807,847.9192936411212,552980.0,398957.6,27295.0,4429.0,2159.0,2377.0,1306.0,1151.0,3152.0,1707.0,5694.0
SV,0.2,0.21514105946823628,0.3184348726984526,0.21514105946823628,0.08346002112648723,1739.1146076767868,847.9192936411212,391354.0,398957.6,41.0,1795.0,32047.0,5.0,124.0,4705.0,3.0,115.0,10435.0
AHL,0.3,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AWL,0.3,0.0981124416480617,0.00973638297548923,0.0981124416480617,0.017700784621729988,1659.2421263050499,847.9192936411212,780222.4,398957.6,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0
ACL,0.3,0.6877004262228537,0.47480494909049425,0.6877004262228537,0.5611976297241981,1106.3777455624509,847.9192936411212,1170333.6,398957.6,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0,0.0
SVMR,0.3,0.20160340978282934,0.08124298816226236,0.20160340978282934,0.11275902458207206,1626.1938143847456,847.9192936411212,445979.6,398957.6,0.0,20304.0,13579.0,0.0,1916.0,2918.0,0.0,2536.0,8017.0
