model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
SV-Grid,0.0,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
HV,0.0,0.7527905263754321,0.7735445294207896,0.7527905263754321,0.7557709801914978,11671.921915199231,422.7196559999771,530298.4,405977.6,22276.0,2205.0,1346.0,1530.0,548.0,559.0,2165.0,921.0,3748.0
SV,0.0,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AHL,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.1,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,33202.50508799888,422.7196559999771,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.1,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,19105.256327998537,422.7196559999771,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
ONL,0.1,0.7812623944699416,0.7653216423987301,0.7812623944699416,0.7681714126424336,9949.507267999215,422.7196559999771,508477.2,405977.6,22824.0,769.0,2234.0,1575.0,211.0,851.0,2067.0,225.0,4542.0
LR,0.1,0.19363703325967477,0.11758498087901187,0.19363703325967477,0.06367114855825645,12804.07771360084,422.7196559999771,401169.6,405977.6,1.0,1.0,25825.0,0.0,0.0,2637.0,0.0,0.0,6834.0
SVML,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
RF,0.1,0.19239050371125843,0.5293257572761396,0.19239050371125843,0.07549146634779252,13598.978486400847,422.7196559999771,408511.6,405977.6,94.0,900.0,24833.0,17.0,214.0,2406.0,41.0,310.0,6483.0
DCT,0.1,0.17907530171681113,0.3247610269307757,0.17907530171681113,0.08422653979942467,14856.923108000896,422.7196559999771,472388.4,405977.6,330.0,1072.0,24425.0,111.0,297.0,2229.0,425.0,715.0,5694.0
KNN,0.1,0.5554422346875179,0.6769417518085837,0.5554422346875179,0.5222567041503606,11799.86950399977,422.7196559999771,490319.2,405977.6,14494.0,938.0,10395.0,996.0,262.0,1379.0,1409.0,575.0,4850.0
SV-Grid,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
HV,0.1,0.7527905263754321,0.7735445294207896,0.7527905263754321,0.7557709801914978,11671.921915199231,422.7196559999771,530298.4,405977.6,22276.0,2205.0,1346.0,1530.0,548.0,559.0,2165.0,921.0,3748.0
SV,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AHL,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.2,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,33202.50508799888,422.7196559999771,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.2,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,19105.256327998537,422.7196559999771,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
ONL,0.2,0.7812623944699416,0.7653216423987301,0.7812623944699416,0.7681714126424336,9949.507267999215,422.7196559999771,508477.2,405977.6,22824.0,769.0,2234.0,1575.0,211.0,851.0,2067.0,225.0,4542.0
LR,0.2,0.19363703325967477,0.11758498087901187,0.19363703325967477,0.06367114855825645,12804.07771360084,422.7196559999771,401169.6,405977.6,1.0,1.0,25825.0,0.0,0.0,2637.0,0.0,0.0,6834.0
SVML,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
